,ProductID,Review,Rating,IsRecommended
0,81407905,I love the lamp but I do not like the flickering on the high setting for my daughter. I think that’s what makes me wanting to return it!,3,True
1,81407905,This lamp works when it feels like it. It flashes and blinks and sometimes just doesnt work at all!!!,1,False
2,81407905,"This lamp does not work. Cute, but not functional",1,False
3,81407905,My girls love them. It looks fabulous.,5,True
4,81407905,"I bought this for my toddler son’s room because it is a adorable design! HOWEVER, there is only one way to turn it on, and that’s using the dimming switch that you have to dial with your finger. If you put a regular bulb in it, the lowest and first setting of the dial makes the bulb flash like a strobe light. So that means you have to purchase an actual dimming light bulb. I think the dim option is a neat idea, if you want a low amount of light (middle of the night in a nursery, etc.), but I wish it had an alternative/traditional switch to turn it on. Because you need to use the dial on the cord as the power switch, that means the cord has to hang down next to the lamp, making it a really big hazard for a toddler to pull down on him/herself. I will be returning it.",1,False
5,81407905,The lamp was cute. But it was like they took it off the shelf and threw it in a target shipping box. I have never bought a lamp that did not come in its own box from the manufacturer. Usually a shade is in its own cardboard to protect the shade. This one was fully assembled and just banging around in the box which resulted in dents in the lamp shade.,1,False
6,81407905,Bought this lamp for my daughter’s room. Very sturdy and the color is exactly as shown. She loves the fact that there is a dimmer attached so she can choose how much light she needs. Definitely would recommend!,5,True
7,81407905,"This lamp is adorable but it doesn’t work properly. It made a loud buzzing noise on the higher settings and it flickered on the medium settings, so you could only have it on the super low, hardly any light setting without issues. Of the 3 I purchased only 1 didn’t do this so I just gave up and returned them all.",2,False
8,81407905,"My gosh it’s cute! Since I basically live in my home office now I’ve been making it my girly sanctuary. I’ve been looking for a fun lamp that also adds since different texture and shape. This was perfect. I wish it were bigger, but for $35 I can boost it with some books no problem.",5,True
9,81407905,"Adorable, playful, and modern. A tad small. The switch is on the cord though, which is so annoying if you have your cords hidden. Also the switch box is pretty big so you have to have your furniture a bit out from the wall. For the price point, these are great. They could have been even better.",4,True
10,81407905,"I bought one of these in-store to use in my entryway - with the dimmer on low, it makes a great night light! But I love it so much, I ordered a second and moved the pair to my living room. They are now on my console table and the dimmable light is perfect for watching TV at night. I know this is a kids' lamp, but it's super chic in white - looks like a higher end retailer!",5,
11,81407905,The light flickers when I turn it on. Super bummed. I’ll be returning it & continue my search for a nursery lamp.,1,False
12,81407905,Perfect for our nursery,5,True
13,81407905,The light was flickering.. kinda like shaking. It was odd and definitely had to turn it off immediately. I’ll be returning it.,1,False
14,81407905,The lamp shade is very thick. I wasn’t expecting such nice quality. My little one loves this lamp and so do I!,5,True
15,81407905,I love these lamps! They are perfect in my daughters nursery. I love that they can be dimmed!,5,True
16,81407905,"I (an adult) got this for my nightstand and it's super cute. The color is nice, it's stable, gives a nice light. Nice simple little lamp.",5,
